source_id,kaynak_adi,arsiv_icerik_tarihi,bizim_cekme_tarihimiz,yas_gun,arsiv_indeksi,tazelik_uyarisi,guncel_veri_mi
source-0516,TheFork,2025-02-09,2026-09-03,593,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-09 tarihli, 593 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0629,TÜSİAD,2025-02-09,2026-09-03,593,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-09 tarihli, 593 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0111,Microsoft Edge Add-ons,2025-02-10,2026-09-03,592,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-10 tarihli, 592 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0274,Seed-DB,2025-02-10,2026-09-03,592,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-10 tarihli, 592 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0381,Rekabet Kurumu,2025-02-10,2026-09-03,592,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-10 tarihli, 592 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0455,YÖK Atlas,2025-02-10,2026-09-03,592,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-10 tarihli, 592 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0160,eBay,2025-02-11,2026-09-03,591,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-11 tarihli, 591 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0268,Türkiye Ticaret Sicili Gazetesi,2025-02-11,2026-09-03,591,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-11 tarihli, 591 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0355,OECD Data,2025-02-11,2026-09-03,591,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-11 tarihli, 591 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0463,FutureLearn,2025-02-11,2026-09-03,591,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-11 tarihli, 591 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0627,ODTÜ Teknokent,2025-02-11,2026-09-03,591,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-11 tarihli, 591 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0064,G2 Track,2025-02-12,2026-09-03,590,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-12 tarihli, 590 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0134,G2,2025-02-12,2026-09-03,590,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-12 tarihli, 590 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0142,Crozdesk,2025-02-12,2026-09-03,590,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-12 tarihli, 590 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0157,Tripadvisor,2025-02-12,2026-09-03,590,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-12 tarihli, 590 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0407,USPTO Patent Center,2025-02-12,2026-09-03,590,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-12 tarihli, 590 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0465,G2 Education Software,2025-02-12,2026-09-03,590,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-12 tarihli, 590 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0542,Azure Marketplace,2025-02-12,2026-09-03,590,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-12 tarihli, 590 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0088,Medium,2025-02-13,2026-09-03,589,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-13 tarihli, 589 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0240,Pinterest Ads Repository,2025-02-13,2026-09-03,589,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-13 tarihli, 589 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0313,Thumbtack,2025-02-13,2026-09-03,589,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-13 tarihli, 589 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0507,DoorDash,2025-02-13,2026-09-03,589,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-13 tarihli, 589 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0126,Microsoft AppSource,2025-02-14,2026-09-03,588,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-14 tarihli, 588 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0308,MapQuest,2025-02-14,2026-09-03,588,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-14 tarihli, 588 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0316,Treatwell,2025-02-14,2026-09-03,588,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-14 tarihli, 588 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0414,Türk Patent ve Marka Kurumu,2025-02-14,2026-09-03,588,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-14 tarihli, 588 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0440,Nasdaq,2025-02-14,2026-09-03,588,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-14 tarihli, 588 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0214,Google Keyword Planner,2025-02-15,2026-09-03,587,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-15 tarihli, 587 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0227,Keyword Tool,2025-02-15,2026-09-03,587,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-15 tarihli, 587 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0370,T.C. Ticaret Bakanlığı,2025-02-15,2026-09-03,587,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-15 tarihli, 587 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
