source_id,kaynak_adi,fikir,denenen_url,artefakt_sha256,artefakt_dosya,icerik_durumu,baslik,govde,kaynak_url,alinma_tarihi,yayin_tarihi,yazar,puan,puan_olcegi,fiyat,para_birimi,donem,dolu_alan_sayisi,bos_alanlar
source-0096,Apple App Store,F01,https://apps.apple.com/us/app/sleep-cycle-sleep-tracker/id320606217,e390abde1bdd5c189728fc55c26174ba578f46b720b7c82a566e6852a7a0640f,results/raw/e390abde1bdd5c189728fc55c26174ba578f46b720b7c82a566e6852a7a0640f.bin,gercek-icerik,‎Sleep Cycle - Tracker & Sounds App - App Store,‎Sleep Cycle - Tracker & Sounds App - App Store Search Today Games Apps Arcade Platform iPhone iPad Mac Vision Watch TV Sleep Cycle - Tracker & Sounds Alarm Clock and Tracking App Free · In‑App Purcha,https://apps.apple.com/us/app/sleep-cycle-sleep-tracker/id320606217,2026-09-24,2026-02-01T06:00:18,Sleep Cycle AB,4.7,5,0,USD,,10,donem
source-0097,Google Play Store,F01,https://play.google.com/store/apps/details?id=com.northcube.sleepcycle,b1da17ff4bd1b360c21cde049f3b44842a0593b271fb8933f71016b23e047e05,results/raw/b1da17ff4bd1b360c21cde049f3b44842a0593b271fb8933f71016b23e047e05.bin,js-kabugu,,,https://play.google.com/store/apps/details?id=com.northcube.sleepcycle,2026-09-24,,,,,,,,2,"baslik, govde, yayin_tarihi, yazar, puan, puan_olcegi, fiyat, para_birimi, donem"
source-0017,GitHub,F03,https://api.github.com/search/issues?q=openapi+breaking+change&per_page=5,73ae278a80f3b761e43924ebe3252853f6dede72ce5d6bad74f37d3f62a019b1,results/raw/73ae278a80f3b761e43924ebe3252853f6dede72ce5d6bad74f37d3f62a019b1.bin,api-yaniti,Detect breaking OpenAPI contract changes,"{""total_count"": 339074, ""incomplete_results"": false, ""items"": [{""url"": ""https://api.github.com/repos/d-ducluzeaud/pace-craft/issues/38"", ""repository_url"": ""https://api.github.com/repos/d-ducluzeaud/pa",https://api.github.com/search/issues?q=openapi+breaking+change&per_page=5,2026-09-24,2026-09-12T20:39:13Z,,,,,,,5,"yazar, puan, puan_olcegi, fiyat, para_birimi, donem"
source-0023,Stack Overflow,F03,https://api.stackexchange.com/2.3/search/advanced?site=stackoverflow&q=breaking%20change%20api&pagesize=5,9197928c0d62c2237c39b39a5f80db0c3e508d2bf150603b290fe5aabbb4f322,results/raw/9197928c0d62c2237c39b39a5f80db0c3e508d2bf150603b290fe5aabbb4f322.bin,api-yaniti,Is ServiceLocator an anti-pattern?,"{""items"": [{""tags"": [""best-practices"", ""design-patterns"", ""dependency-injection"", ""anti-patterns"", ""service-locator""], ""owner"": {""account_id"": 323232, ""reputation"": 2375, ""user_id"": 643121, ""user_type",https://api.stackexchange.com/2.3/search/advanced?site=stackoverflow&q=breaking%20change%20api&pagesize=5,2026-09-24,1396381548,davidoff,,,,,,6,"puan, puan_olcegi, fiyat, para_birimi, donem"
source-0022,Hacker News,F03,https://hn.algolia.com/api/v1/search?query=breaking%20changes%20api&hitsPerPage=5,5d5e1beb787d5234af0e50eae10a9d4347c1d5a16c852639bf4da7e728e976c8,results/raw/5d5e1beb787d5234af0e50eae10a9d4347c1d5a16c852639bf4da7e728e976c8.bin,api-yaniti,Swagger::Diff – detect breaking API changes,"{""exhaustive"": {""nbHits"": false, ""typo"": false}, ""exhaustiveNbHits"": false, ""exhaustiveTypo"": false, ""hits"": [{""_highlightResult"": {""author"": {""matchLevel"": ""none"", ""matchedWords"": [], ""value"": ""gabau",https://hn.algolia.com/api/v1/search?query=breaking%20changes%20api&hitsPerPage=5,2026-09-24,2015-10-02T16:23:28Z,ezekg,,,,,,6,"puan, puan_olcegi, fiyat, para_birimi, donem"
source-0114,Shopify App Store,F04,https://apps.shopify.com/categories/orders-and-shipping-returns-and-exchanges,197a32b295b5f1c93b38bc1b6a7ecb74e2ba77ad8dce7bcb259678530ee6ea29,results/raw/197a32b295b5f1c93b38bc1b6a7ecb74e2ba77ad8dce7bcb259678530ee6ea29.bin,gercek-icerik,Best Support Apps For 2026 - Shopify App Store,"Best Support Apps For 2026 - Shopify App Store Shopify App Store Search Browse apps Apps by category Sales channels Sync products with marketplaces, product feeds, data backup, point of sale, retail F",https://apps.shopify.com/categories/orders-and-shipping-returns-and-exchanges,2026-09-24,,,,,$2.99,$,,6,"yayin_tarihi, yazar, puan, puan_olcegi, donem"
source-0534,Hugging Face,F05,https://huggingface.co/api/models?search=turkish%20asr&limit=5,93f16549d6e11c5c274d0b638524c1b799a24fc1ba1bf4011e7671d1a92de8de,results/raw/93f16549d6e11c5c274d0b638524c1b799a24fc1ba1bf4011e7671d1a92de8de.bin,api-yaniti,oguzhankarahan/asr-300m-turkish,"[{""_id"": ""64a1df4a33631b0574e81156"", ""id"": ""oguzhankarahan/asr-300m-turkish"", ""likes"": 0, ""trendingScore"": 0, ""private"": false, ""downloads"": 13, ""tags"": [""transformers"", ""pytorch"", ""tensorboard"", ""wav",https://huggingface.co/api/models?search=turkish%20asr&limit=5,2026-09-24,,,,,,,,4,"yayin_tarihi, yazar, puan, puan_olcegi, fiyat, para_birimi, donem"
source-0518,Steam,F06,https://store.steampowered.com/search/?tags=1664&term=co-op+puzzle,76b9e6c2b3e249f88c7c130f9f1d651aa1bcfad35ddddbcb79893b96ca62c88e,results/raw/76b9e6c2b3e249f88c7c130f9f1d651aa1bcfad35ddddbcb79893b96ca62c88e.bin,gercek-icerik,Steam Search,Steam Search Sign in Store Home Discovery Queue Wishlist Points Shop News Charts Community Home Discussions Workshop Market Broadcasts About Support Change language Get the Steam Mobile App View deskt,https://store.steampowered.com/search/?tags=1664&term=co-op+puzzle,2026-09-24,,,,,$1.99,$,,6,"yayin_tarihi, yazar, puan, puan_olcegi, donem"
source-0319,Armut,F07,https://armut.com/ev-temizligi,319c22fae587ca409260f778dfe2114e0a16d57d6db1e8b777b17602389ea345,results/raw/319c22fae587ca409260f778dfe2114e0a16d57d6db1e8b777b17602389ea345.bin,gercek-icerik,Ev Temizliği | Memnuniyet Garantili Profesyonel Temizlikçi Armut'ta,Ev Temizliği | Memnuniyet Garantili Profesyonel Temizlikçi Armut'ta Hizmet Ver Temizlikçi Arıyorsan Şimdi Rezervasyon Yap. 10.116 Temizlikçi hizmet vermeye hazır. REZERVASYON YAP Armut Ev Temizliği Ev,https://armut.com/ev-temizligi,2026-09-24,,Ezgi B. Ş.,4.4,5,,,,7,"yayin_tarihi, fiyat, para_birimi, donem"
