kategori,bulgu_turu,document_id,source_id,source_adi,url_yolu,mevcut_etiket,kanit,onerilen_duzeltme,gerekce
oyun,eksik-provenance,doc-622d7f12da7d,source-0521,itch.io,/sitemaps/games.xml,sitemap,dosya yok: results/raw/112e6a767d4116cb458839c7ea2b96f54d089da2243d0f813c114d0b7615b89d.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
oyun,eksik-provenance,doc-7186d067415e,source-0532,OpenCritic,/browse,liste-sayfasi,dosya yok: results/raw/3b00be2b707b8005028cb275101b808ff4c09d1b97ed162f70aaefdd6b2b4159.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
oyun,eksik-provenance,doc-861699a34e4f,source-0520,GOG,/u/@me/reviews,belirsiz,dosya yok: results/raw/f28e262a2207f3f27dcfae4d534ce68a5143991781fb1e1422b1e1b819bfbe3b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
oyun,eksik-provenance,doc-c207cfcbd6c2,source-0532,OpenCritic,/sitemap.xml,sitemap,dosya yok: results/raw/a5b1c5a9a1eb7df1cbde7f8b3582bab2f4cb8429c3522d08fa2ff9166c5ebf42.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
oyun,eksik-provenance,doc-d95e9b299d69,source-0521,itch.io,/sitemaps/jams.xml,sitemap,dosya yok: results/raw/3adc8f92e9c1858b450e87aeeeaeccd27bf6c7050f4642d228479f33369a271c.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
oyun,eksik-provenance,doc-ea089cb77bf8,source-0520,GOG,/en/,ana-sayfa,dosya yok: results/raw/29cbcba66bb0d9f7305d1a95414d409d5b51b320e25d50981f4498fb5bf57f8c.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
oyun,eksik-provenance,doc-efeb6675d1c8,source-0521,itch.io,/question,kayit-sayfasi,dosya yok: results/raw/b02724dfeb34c780ee1ba7d9ce0b8a5c25083ce45323e9687c6e22888fb35ce2.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
regule-sektor,eksik-provenance,doc-00e3f2b08cd7,source-0392,European Data Protection Board,/home_en,belirsiz,dosya yok: results/raw/87d2178fcb4dd1709b70e4c99a7da4088543ed611735d506331cdb6ef9a15deb.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
regule-sektor,eksik-provenance,doc-301a1cfc708a,source-0400,U.S. Securities and Exchange Commission,/,ana-sayfa,dosya yok: results/raw/afbe4af2643328b61586c6194377c65bd8e096cbc7b4dd4fd39b659976ab3191.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
regule-sektor,eksik-provenance,doc-4a3241c0ded0,source-0399,U.S. Food and Drug Administration,/,ana-sayfa,dosya yok: results/raw/ed1c10ff8536548c32dc728773c08b26e6ab644fc0817b17a608eceaabd981f2.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
regule-sektor,eksik-provenance,doc-6d4c24748e6b,source-0384,SPK,/plans,fiyatlandirma-sayfasi,dosya yok: results/raw/7df7aa6f06090afdce0f28796974cc401192afdcd8c52e4189cf158d4f9cd203.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
regule-sektor,eksik-provenance,doc-872650cb049d,source-0402,UK Legislation,/,ana-sayfa,dosya yok: results/raw/33eecd8db2681f276e5e93c18f7f406d1ab9268a044601c82b82b83742ce4d43.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
regule-sektor,eksik-provenance,doc-8a55c1fd9618,source-0384,SPK,/pricing,fiyatlandirma-sayfasi,dosya yok: results/raw/1a622acf345bde6208bd6d037cf336bcaaadbf92ef393862a8530e5475a8660b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
regule-sektor,eksik-provenance,doc-b75bedf93717,source-0403,UK Financial Conduct Authority,/consumers/fca-firm-checker/sitemap.xml,sitemap,dosya yok: results/raw/646115cfcdc9e4fd155e77cededc985794bbd19e6401f6265132c493bfaf54f9.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-0d4795bea024,source-0424,ECDC,/sitemap.xml,sitemap,dosya yok: results/raw/974ede8af80bd893836a4cd1b04389581cd98a3217d5297a4dad8773634b3e2d.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-1e9f05ae5085,source-0424,ECDC,/sitemap.xml,sitemap,dosya yok: results/raw/cd0c9d2e6bb2373f5d821fd0e282e7c923f1322bbcfca65473bc2ff83fb007e5.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-1edfea6d3e07,source-0429,MedlinePlus,/,ana-sayfa,dosya yok: results/raw/1786f032b55de67f59bd8cffb66671b91388ee226329175ac9810aa5f7daf03b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-2250e832273b,source-0430,HealthData.gov,/,ana-sayfa,dosya yok: results/raw/a749b6d95f82194f1d2d4fa95d1f6f73921ced3b0670e9393c7f8fa299cce181.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-2682d44f32a5,source-0423,CDC,/,ana-sayfa,dosya yok: results/raw/2397d28693c2dfe64372c4446dbf409f889ff9e04f22fd9638a539f0ec1f3922.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-3d3445e66963,source-0331,PubMed,/,ana-sayfa,dosya yok: results/raw/e8c76fece52b5e1632dd45098c9eeeb5225ca22f695e35468e8789a160f511d0.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-4138986c453f,source-0422,NICE,/,ana-sayfa,dosya yok: results/raw/273b70f199dc628eb7f84f81a8e2755925b7e05895ec14e72dc99be36557c1ec.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-499aeaedd1cd,source-0423,CDC,/about-us/community/,belirsiz,dosya yok: results/raw/7ebb3598f16bfab6b11cc39656a514f2087f84ff2f13475d7e11f42fce92baad.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,konu-disi,doc-499aeaedd1cd,source-0423,CDC,/about-us/community/,belirsiz,yol '/about-us/community/',araştırma kanıtı havuzundan çıkar,"Giriş, sepet, gizlilik ve kariyer sayfaları erişilebilir olabilir ama fiyat, yorum ya da talep sinyali taşımaz."
saglik,eksik-provenance,doc-4a3241c0ded0,source-0399,U.S. Food and Drug Administration,/,ana-sayfa,dosya yok: results/raw/ed1c10ff8536548c32dc728773c08b26e6ab644fc0817b17a608eceaabd981f2.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-62c6e45b11bc,source-0424,ECDC,/sitemap.xml,sitemap,dosya yok: results/raw/f6779984945a7b452107e7293e98bfbae695158e81b2fc447842223b21f60764.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
saglik,eksik-provenance,doc-859bfdbac6d6,source-0422,NICE,/solutions/boost-customer-loyalty,kayit-sayfasi,dosya yok: results/raw/9c7bb7a7d96efb6e97f6a70608a739ea081b3189e2ed3ca7b07e1a8dfd894f7f.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-01be99bc1364,source-0493,Hostelworld,/,ana-sayfa,dosya yok: results/raw/49150713e668736367901aae18d351e74b15ab3e37fb4c159c675ba0263323d8.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-0868c88fbca4,source-0502,Moovit,/sitemap_index.xml,sitemap,dosya yok: results/raw/3fd02a186027f2c03c6fef31e8642cb3097d501e497c09c331005c091ae7c4c4.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-1a387019ea00,source-0498,Uber,/sitemap.xml,sitemap,dosya yok: results/raw/0363f9e12b2d83f676b31bd8e9eeafc9bb532cf5e6bfafdd2c63ffd9e50ebc15.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-2dce68bf08f3,source-0489,Agoda,/,ana-sayfa,dosya yok: results/raw/ce9eef461f3c320f588fd59aeeb56a255bd8eec2695703c50b7a0286fa31b876.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-429b476ff3da,source-0490,Skyscanner,/community,belirsiz,dosya yok: results/raw/8006411e80fee08727a5c31255fd70e6d87834856edab435a25a137b486ed5ee.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-5f277e4c37a3,source-0486,Airbnb,/robots.txt,politika-dosyasi,dosya yok: results/raw/eee43f42bb76d3f0466014b8598e1cf60fa87944298a507ad31840390474f355.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-68227c2f9a74,source-0485,Booking.com,/sitembk-airport-index.xml,sitemap,dosya yok: results/raw/7fa8d7021e3ad9414da20688f9348094251e9c4083134c66afb774890084f6b8.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-7adf225cf12b,source-0491,Kayak,/store-categories-sitemap.xml,sitemap,dosya yok: results/raw/9cd492f3bd483b47eddc17ea94823b01f719656233fe4c7500b6328db17b698c.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-8aab0ef7630e,source-0494,Vrbo,/,ana-sayfa,dosya yok: results/raw/df1e693164265dcc4d2caf4dd9b0f3dfbfe010adc6315d53996f76a45c455fde.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-8bddbe2e9f89,source-0502,Moovit,/events-sitemap.xml,sitemap,dosya yok: results/raw/3348a5ac52cd01bfb515f7c23941649eab4f6e5eeca77e4c9bac62d32c41bc6a.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
seyahat,eksik-provenance,doc-9e79c2088f41,source-0491,Kayak,/sitemap.xml,sitemap,dosya yok: results/raw/057ef044323a00ba8a08be884edf41358c970f531359524a41678387a6d2fc76.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-1be11b382c67,source-0619,StartupMarket,/,ana-sayfa,dosya yok: results/raw/85f96b6da6cdf39d77507d44bc9c9912f7ab7c7807782dc37c99736a675110ac.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-34e231c8ffc1,source-0620,startups.watch,/,ana-sayfa,dosya yok: results/raw/75bb0a68bc24b770afda6465dca2d25d10e87ddb6e5b72b2020049bad0b658e8.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-3bc1dd539e43,source-0622,TÜBİTAK,/tr/kurumsal/teknoloji-transfer-ofisi/ilanlar,liste-sayfasi,dosya yok: results/raw/9de8fe93fa0e15fd1fd5a6f8cb2030160e93341c7b6ce27c5b64ab1f4cc7b55f.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-446719e917fc,source-0624,Bilişim Vadisi,/page-sitemap.xml,sitemap,dosya yok: results/raw/b2c41bbff3a2c4d00a38e454968889395f65a3e528a6996325f3ce9e8010f2ff.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-4d3f64897b51,source-0635,Founder Institute Türkiye,/,ana-sayfa,dosya yok: results/raw/84b9268392ebe2a76c77f972e4741439e882b792ec5f19553cc81b553aac9df9.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-587eca55ecee,source-0634,Arya Women Investment Platform,/,ana-sayfa,dosya yok: results/raw/89cd39c56e0c193ddd222b41bb53dcbf23c6cc026d5d30cfd00168f446d904aa.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-7404409322b2,source-0627,ODTÜ Teknokent,/tr/,ana-sayfa,dosya yok: results/raw/fc02742e60397eba50edf2392cee8596b2eba6ea46b9815db579df476ad09b0b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-820ae4db92b3,source-0633,Galata Business Angels,/tr/kategori/roportaj/,belirsiz,dosya yok: results/raw/c55dd977872828032c2dc70908365b5a9f1d3a0fdbe32f4fcb7f643954b6e5b2.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-9b3ed03dc86d,source-0622,TÜBİTAK,/tr,ana-sayfa,dosya yok: results/raw/1cc3f644868f03bac7c8be52f533f62e3b31e79be8ffcd13be40888a4f1aac30.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-b210523fdaaa,source-0628,Yıldız Teknopark,/,ana-sayfa,dosya yok: results/raw/5bfd1adce20885e2accc7ba7ed8d62c92b63530c7dfe6b6219315982c0a6e694.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-bde527f118e5,source-0624,Bilişim Vadisi,/tribe_events-sitemap.xml,sitemap,dosya yok: results/raw/a19813fb547d49629fd10da31a1030f38511e931d987bdf9cd1defcb5c42e0f1.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
turkiye-pazari,eksik-provenance,doc-e35ef2491b6b,source-0633,Galata Business Angels,/tr/portfolio-item-sitemap.xml,sitemap,dosya yok: results/raw/ae7c62df9d1879a1c17c1e15f461237472b0ec03eac74ff053228f1fb402be9d.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-070d3f26fd5f,source-0547,Glama,/sitemap.xml,sitemap,dosya yok: results/raw/063c45e17467869e0f42d5c93ebb2742cbcf46d1bfd269a8594cc734c58912ed.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-1736c864f8c5,source-0535,OpenRouter,/apps,liste-sayfasi,dosya yok: results/raw/c005b7790306e9ab300b9634b993829282058a1142e67f33eb478afa787f614b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-2a0f4e5bf9df,source-0538,Artificial Analysis,/,ana-sayfa,dosya yok: results/raw/5f6c6d69060acf7827e79b615a75b7df84d4ebfcc6c992211f749077fd356b9a.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-379d4a5170ec,source-0548,MCP.so,/sitemap.xml,sitemap,dosya yok: results/raw/825ab843e1acc756232bdbb5cfb7795de31c6c8d2c1321cb2fe5dfc03253e9b5.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-40bb74ab8969,source-0541,AWS Marketplace,/cn/pricing/,fiyatlandirma-sayfasi,dosya yok: results/raw/61ed6753717342d13184aba1a9f5f23d5f51f046736fcd09db2dd7189ca703aa.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-6f895813e9e7,source-0353,Papers with Code,/sitemaps/tasks.xml,sitemap,dosya yok: results/raw/e2b5739597a037b40557dcb62cbfea6b2525a394f87c2d9acfc9837e45a9bf61.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-82763723e54e,source-0537,Together AI,/sitemap.xml,sitemap,dosya yok: results/raw/90563f1e82a1f187aef63ab3bdf519cf87cb91156391cadb5a0158f73fe735ab.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-92d57ae304e4,source-0536,Replicate,/sitemap.xml,sitemap,dosya yok: results/raw/b1b4984bdde26715c5bbf760246341cbbbaf74f150dd72e83974d7a731132c1f.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-a7a46f5c0ae2,source-0547,Glama,/mcp/categories,liste-sayfasi,dosya yok: results/raw/25e58379d714520df2b0fa043417d289d6a74419898bdbc6c4cb7b635988129d.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-b29712910513,source-0550,Composio,/sitemap.xml,sitemap,dosya yok: results/raw/0a3edd71b46ce7fa15ca202b941955021d5b7c876559df5053cf99e0eaf52de0.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-c9d15370fd94,source-0541,AWS Marketplace,/sitemaps/sitemap_japan/,sitemap,dosya yok: results/raw/0db72744e297a114e177c25c3607fb0685dab4b026b29150c9f3b7fc4472658f.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yapay-zeka-urunu,eksik-provenance,doc-dc5755167021,source-0546,Smithery,/video-sitemap-1.xml,sitemap,dosya yok: results/raw/4c391e7fc03956fda2034789f3965115c94cd0ef063d76cde3ee9871d8d28430.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yeme-icme,eksik-provenance,doc-04a1f2fa54fa,source-0505,OpenTable,/robots.txt,politika-dosyasi,dosya yok: results/raw/3ec5735fe7e0bc070f17780c3811e1d92f0ef99ce49095624e6c23914842538f.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yeme-icme,eksik-provenance,doc-14d14ed3b0cc,source-0506,Uber Eats,/,ana-sayfa,dosya yok: results/raw/8a5641213b2d203ef6b9c807549f1021806e667cc2a677f677b0f6f062ef286d.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yeme-icme,eksik-provenance,doc-17b292cac473,source-0510,Just Eat,/home/default.aspx,belirsiz,dosya yok: results/raw/852e9f9a8a8541bc007b416bcdfc7b6ecab112f24820a8c0fe41885c5e54dc83.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yeme-icme,eksik-provenance,doc-239a208466c6,source-0304,Foursquare,/products/,belirsiz,dosya yok: results/raw/71b075b2a29d39335d0dca44ee47cfc18c49a3e892fd0979ea583fc34b1ee0a1.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yeme-icme,yanlis-etiket,doc-239a208466c6,source-0304,Foursquare,/products/,belirsiz,"gövde 8275 karakter, yol '/products/'",belge_turu → liste-sayfasi,URL yolu '/products/' bu türü gösteriyor VE gövde metni doğruluyor
yeme-icme,eksik-provenance,doc-29d0f054895c,source-0511,Yemeksepeti,/,ana-sayfa,dosya yok: results/raw/d4daa67daaaf6381de431baa8d1fb3854afee41d582b0fb3e352b84714b3e6d7.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yeme-icme,eksik-provenance,doc-2bda57a260ab,source-0304,Foursquare,/fs_products-sitemap.xml,sitemap,dosya yok: results/raw/0437a68adac78c5305893ebaded4e032983bd57233069ef009ce5545a51389c6.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yeme-icme,eksik-provenance,doc-33b048e68b30,source-0508,Grubhub,/,ana-sayfa,dosya yok: results/raw/9c4464ef54c58275ac678418795944ab863718790c3b8b1651001951d9857ba3.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yeme-icme,eksik-provenance,doc-54ef2e6a9f73,source-0304,Foursquare,/fs_video-sitemap.xml,sitemap,dosya yok: results/raw/2eeefc50023fd95b8028fd6c0e5902d17f78c361ad3499a280644f0c95360c34.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yeme-icme,eksik-provenance,doc-5a1de88054d5,source-0506,Uber Eats,/robots.txt,politika-dosyasi,dosya yok: results/raw/f42b5e2b61b612deee5e497c4f135977f42217523af4b58093775460db0c862b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-0158766c4fc1,source-0312,Nextdoor,/,ana-sayfa,dosya yok: results/raw/0f4e7f4f098300ca5cd0bebf72b31b3b1e8921358a8d5f2efce17f0baf36ee7b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-177f67ba77af,source-0315,Houzz,/,ana-sayfa,dosya yok: results/raw/c47af60a737e3cdb7a4464c86f363b221771f9f4f58d42d74e8c29d5d5b16028.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-36e66a60a31e,source-0309,TomTom,/customers/,kullanim-senaryosu,dosya yok: results/raw/fbbd9d2b4449a3eaa666e90d6984338f146d58eb667aa41d86ceed21a93e7339.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-4870107df926,source-0317,Fresha,/sitemap.xml,sitemap,dosya yok: results/raw/b1535db60a31fe4d9da0243d5cfb6712dee0e6cb186eff1b9b9f02b2add8eb81.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-54ef2e6a9f73,source-0304,Foursquare,/fs_video-sitemap.xml,sitemap,dosya yok: results/raw/2eeefc50023fd95b8028fd6c0e5902d17f78c361ad3499a280644f0c95360c34.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-6f5d3dd56462,source-0306,Yandex Maps,/,ana-sayfa,dosya yok: results/raw/89430afb587d95105ee12bd5f5fe2e5e57b50acbeab090fb91d834b4dc06042f.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-77c04b310125,source-0319,Armut,/hizmetveren/kiralik-vinc-kiralama-sepet-vinc-kiralama-kiralik-vinc-is,liste-sayfasi,dosya yok: results/raw/380695e88a87ebcf43a7aaf0b3e608176f50fdeb4aa412053d62a441813d38b6.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-86b5783e2ae5,source-0304,Foursquare,/developer/community/,forum-sayfasi,dosya yok: results/raw/6a5dc57ed7a7c24c224f506799845963d7efb0133d9d35c57e5085fac511189c.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-9db7a0b10621,source-0318,Booksy,/en-us/,ana-sayfa,dosya yok: results/raw/43fae05fd88e5f91ca634d74390e01e5123bef099a3b1dd5b47d332c0025df81.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
yerel-hizmet,eksik-provenance,doc-d9045db8406c,source-0308,MapQuest,/,ana-sayfa,dosya yok: results/raw/f2f6f587dd0972a718067df9b188bffef5e58b2d06ee90dc9d4e5e607f8d439a.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
