kanit_sayilari,source_id,kaynak,url,artefakt_kimligi,dosya,kaynak_ailesi,kaynagin_diger_aileleri,urun_tipi,belge_turu,ikincil_belge_turu,icerik_alani,jsonld_turleri,siniflandirma_gerekcesi,aday_kesif_mi,olcum_kaniti_uretir_mi,bayt,yontem
liste=0 yorum=0 fiyatli_offer=0,source-0362,Bureau of Labor Statistics,https://www.bls.gov/?utm_medium=email&utm_source=et&utm_content=http%3A%2F%2Fwww.bls.gov%2F&utm_campaign=1619765_209300_RNC%20Research,61bf69df0db83aab,results/raw/61bf69df0db83aab47986bdc35b8d406842b73849f17a0c9588982bb6b2d54c1.bin,Kamu verisi ve istatistik,,ortak-havuz,ana-sayfa,,U.S. Bureau of Labor Statistics : U.S. Bureau of Labor Statistics,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,75402,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0378,Destatis,https://www.destatis.de/DE/Home/_inhalt.html,f11c7a0627e5d942,results/raw/f11c7a0627e5d94244a6b02ed25624519fb97665b08263f4a6034dcac3687b9e.bin,Kamu verisi ve istatistik,,ortak-havuz,belirsiz,,Startseite - Statistisches Bundesamt,,"URL yolu '/de/home/_inhalt.html' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,99974,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0363,Federal Reserve Economic Data,https://fred.stlouisfed.org/,e5e0d672a79e54ea,results/raw/e5e0d672a79e54eaf993bef3352307e4d22e1f19a7df0dd206bd1c8a8e70e618.bin,Kamu verisi ve istatistik,,ortak-havuz,ana-sayfa,,Federal Reserve Economic Data | FRED | St. Louis Fed,"DataCatalog, Organization, PostalAddress",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,58833,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0174,Indiegogo,https://www.indiegogo.com:443/,4981ca90dc6daf5b,results/raw/4981ca90dc6daf5b560625c3fd788b6db259373c4f29ce3941168ba8662563b0.bin,Kitle fonlaması platformları,,ortak-havuz,ana-sayfa,,Crowdfund Innovations &amp; Support Entrepreneurs | Indiegogo,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,34660,common_crawl_warc
liste=1 yorum=0 fiyatli_offer=0,source-0107,APKMirror,https://www.apkmirror.com/,1997d3b3ffbe5c91,results/raw/1997d3b3ffbe5c91fc00e83ef2d376d868b2b26bd46061933231d0ad2af1bac7.bin,Mobil uygulama mağazaları,,consumer-mobile-web,ana-sayfa,,APKMirror - Free APK Downloads - Free and safe Android APK downloads,"BreadcrumbList, CollectionPage, EntryPoint, ImageObject, ListItem, Organization",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,385935,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0096,Apple App Store,https://apps.apple.com/us/iphone/today,d85a2b24a511a5fe,results/raw/d85a2b24a511a5fe892dcd4dd586adb71dc504b54592edbed72b38d6098a7399.bin,Mobil uygulama mağazaları,,consumer-mobile-web,belirsiz,,‎Today for iPhone - App Store,Organization,"URL yolu '/us/iphone/today' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0105,Aptoide,https://en.aptoide.com/,a4939c3dcefb1c71,results/raw/a4939c3dcefb1c719446a092d24ecb288fe4a405c046d3ec799e72e123b19fc1.bin,Mobil uygulama mağazaları,,consumer-mobile-web,ana-sayfa,,Aptoide - The alternative Android app store,"Organization, SearchAction, WebSite",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0519,Epic Games Store,https://store.epicgames.com/ar/achievements/dead-by-daylight,f635c1bacfa0fd73,results/raw/f635c1bacfa0fd734e76884aad33b6a612385f3620ad8cc03125a1d4cce703f8.bin,Oyun dikeyi,,consumer-mobile-web,belirsiz,,(başlık yok),,"URL yolu '/ar/achievements/dead-by-daylight' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,400000,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0520,GOG,https://www.gog.com/en/,29cbcba66bb0d9f7,results/raw/29cbcba66bb0d9f7305d1a95414d409d5b51b320e25d50981f4498fb5bf57f8c.bin,Oyun dikeyi,,consumer-mobile-web,ana-sayfa,,Welcome to GOG.com | best PC games DRM-free,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0530,Game Developer,https://www.gamedeveloper.com/,59538ed709137a59,results/raw/59538ed709137a596fd4d35058ea8f6bc2b8024364f00f8e12424084cc57acdf.bin,Oyun dikeyi,,consumer-mobile-web,ana-sayfa,,"Game Industry News, Deep Dives, and Interviews | Game Developer","ImageObject, NewsMediaOrganization, QuantitativeValue",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0413,EUIPO,https://euipo.europa.eu/ec2/classheadings/?niceClassLang=en,28ccd4c2ebe1d777,results/raw/28ccd4c2ebe1d777eff5b64ff7c356a7fbf2b06cabee75edd2953a824a5cff35.bin,Patent ve marka,,ortak-havuz,belirsiz,,Nice Class Headings - TMclass,,"URL yolu '/ec2/classheadings/' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,29864,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0417,Justia Patents,https://patents.justia.com/,7e689f5a33e21a1d,results/raw/7e689f5a33e21a1d9e2517a2ff5e053b5c13f9ba06dc8b97d20239645b186785.bin,Patent ve marka,,ortak-havuz,ana-sayfa,,"U.S. Patent, Patent Application and Patent Search - Justia Patents Search",,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,151052,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0418,The Trademark Search Company,https://thetrademarksearchcompany.com/,1d2d0d7092d67020,results/raw/1d2d0d7092d67020f6f0b0d2d02d97ecc22172a00e33b57cd76473a7f7715010.bin,Patent ve marka,,ortak-havuz,ana-sayfa,,Trademark Services | Trademark Search Company,"Answer, ContactPoint, FAQPage, Organization, Question",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,369560,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0382,BTK,https://www.btk.gov.tr/,b0480a331811f829,results/raw/b0480a331811f829128d95d65b0a8bda2ef583958d86c54482e7284a9ce5e12e.bin,Regülasyon ve hukuk kaynakları,,ortak-havuz,ana-sayfa,,Bilgi Teknolojileri ve İletişim Kurumu,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0405,Competition and Markets Authority,https://www.gov.uk/,c004e66fd5bf86c8,results/raw/c004e66fd5bf86c8879462595a1071f6e85a4db18fec95db8852da8bdd476580.bin,Regülasyon ve hukuk kaynakları,,ortak-havuz,ana-sayfa,,Welcome to GOV.UK,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,85460,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0401,Consumer Financial Protection Bureau,https://www.consumerfinance.gov/,3e388f1d2ea945e5,results/raw/3e388f1d2ea945e5f5be9d15803ecb46d4449798a954294002604fef680d1ed3.bin,Regülasyon ve hukuk kaynakları,,ortak-havuz,ana-sayfa,,Consumer Financial Protection Bureau,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,142280,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0250,Adbeat,https://www.adbeat.com/?ads_cmpid=238487694&ads_adid=17854638294&ads_matchtype=b&ads_network=g&ads_creative=60101097054&utm_term=adbeat&ads_targetid=kwd-1534635982&utm_campaign=&utm_source=adwords&utm_medium=ppc&ttv=2&gclid=CjwKCAjwy_aUBhACEiwA2IHHQECstWRzgvkhSM4lwSdR36XR5WJMbw59IWZmaoUiN_pyLQYhm9ZlrBoCaQMQAvD_BwE,9cda43fa94904275,results/raw/9cda43fa949042756fb997ef9609051ae1a031ec2dbb3ad72a93734fa9dcfb5a.bin,Reklam kütüphaneleri ve pazarlama sinyalleri,,ortak-havuz,ana-sayfa,,Adbeat :: Competitive Intelligence For Display Advertisers,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,62512,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0247,AppMagic,https://appmagic.rocks/,42b9c54ef60d497c,results/raw/42b9c54ef60d497c0d96d2acc2ea9b0d30c8923cea5f2b383657462ebb247e49.bin,Reklam kütüphaneleri ve pazarlama sinyalleri,,ortak-havuz,ana-sayfa,,AppMagic,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,70414,root_html
liste=0 yorum=3 fiyatli_offer=2,source-0249,BigSpy,https://bigspy.com/en,df623633b5a7710f,results/raw/df623633b5a7710f46ff9f70e52cb0f8cb518835a0c8135542bf14399b628d01.bin,Reklam kütüphaneleri ve pazarlama sinyalleri,,ortak-havuz,ana-sayfa,,BigSpy - #1 Free Adspy Tool,"AggregateRating, Answer, FAQPage, ImageObject, Offer, Organization","kök yolda ana sayfa; sayfanın kendini tarif eden işaretleri (fiyatlandirma-sayfasi, inceleme-sayfasi, kayit-sayfasi işareti var ama eşiğin altında)",hayir,hayir,190602,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0151,Better Business Bureau,https://www.bbb.org/,803631dd89c18fc4,results/raw/803631dd89c18fc416fd2955042b8cc4a75cf964388f83d35f683247280cc789.bin,"SaaS, yazılım ve hizmet inceleme siteleri",,b2b-saas,ana-sayfa,,BBB | Better Business Bureau,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,123210,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0135,Capterra,https://www.capterra.com/,133f222cbbc7db5f,results/raw/133f222cbbc7db5f8a1c3c842e26bdfd5777792692815da5a9ef17ec32e16fa5.bin,"SaaS, yazılım ve hizmet inceleme siteleri","Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",b2b-saas,ana-sayfa,,Capterra: Find The Right Software,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0150,ConsumerAffairs,https://www.consumeraffairs.com:443/,6bce75bc81693e17,results/raw/6bce75bc81693e17cae65231dfaf9f46e51e74c2633b2c0aa52793906bf9ffff.bin,"SaaS, yazılım ve hizmet inceleme siteleri",,b2b-saas,ana-sayfa,,ConsumerAffairs®: Research. Review. Resolve.,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,387322,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0423,CDC,https://cdc.com/,2397d28693c2dfe6,results/raw/2397d28693c2dfe64372c4446dbf409f889ff9e04f22fd9638a539f0ec1f3922.bin,Sağlık ve biyoteknoloji dikeyi,,ortak-havuz,ana-sayfa,,CDC Data Centres,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,123572,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0419,ClinicalTrials.gov,https://clinicaltrials.gov/,17c3746fc8cd5ac2,results/raw/17c3746fc8cd5ac242d3087cf72a2ba6b61daf6879723daf7e5cf4535e843406.bin,Sağlık ve biyoteknoloji dikeyi,,ortak-havuz,ana-sayfa,,ClinicalTrials.gov,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,94295,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0428,DailyMed,https://dailymed.nlm.nih.gov/dailymed/,0be049572acb8836,results/raw/0be049572acb8836a1fc1023be5d6ce4750b95b3f987947efe29a46714d5cdaa.bin,Sağlık ve biyoteknoloji dikeyi,,ortak-havuz,belirsiz,,DailyMed,,"URL yolu '/dailymed/' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,74798,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0489,Agoda,https://www.agoda.com/,ce9eef461f3c320f,results/raw/ce9eef461f3c320f588fd59aeeb56a255bd8eec2695703c50b7a0286fa31b876.bin,"Seyahat, konaklama ve mobilite dikeyi",,ortak-havuz,ana-sayfa,,(başlık yok),,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,197934,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0486,Airbnb,https://www.airbnb.com/,feeaad85f25534b3,results/raw/feeaad85f25534b3583aec429ca4c3976b613d60270dbcf5cf856a04d6fff9e3.bin,"Seyahat, konaklama ve mobilite dikeyi",,ortak-havuz,ana-sayfa,,"Airbnb: Vacation Rentals, Cabins, Beach Houses, Unique Homes &amp; Experiences","SearchAction, WebSite",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0500,Bolt,https://bolt.io/,970ef325e1581138,results/raw/970ef325e15811380d06bb2d814cbcf16b22a1181c66badb2b408b45b819700c.bin,"Seyahat, konaklama ve mobilite dikeyi",,ortak-havuz,ana-sayfa,,Bolt - Investing at the intersection of the digital and physical world,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,103900,root_html
liste=1 yorum=0 fiyatli_offer=0,source-0090,Discord,https://discord.com,eb16988b8bc89a85,results/raw/eb16988b8bc89a85d3c6cad0d69890ad9111090c3d88e926a64f4ecf394f0c24.bin,Sosyal ağlar ve açık topluluklar,,ortak-havuz,ana-sayfa,,Discord - Group Chat That’s All Fun &amp; Games,"BreadcrumbList, ContactPoint, ImageObject, ListItem, Organization, SearchAction",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,118314,common_crawl_warc
liste=1 yorum=0 fiyatli_offer=0,source-0093,Discourse,https://www.discourse.net/,a78fde92bbd0b8be,results/raw/a78fde92bbd0b8be5d1bd67451abe3787745263577d843941e99001063cbc900.bin,Sosyal ağlar ve açık topluluklar,,ortak-havuz,ana-sayfa,,Discourse.net &#8211; On the fringes of the public sphereDiscourse.net | On the fringes of the public sphere,"BreadcrumbList, CollectionPage, EntryPoint, ImageObject, ListItem, PropertyValueSpecification",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,109086,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0080,Facebook,https://www.facebook.com/robots.txt,934ce4f853a7c690,results/raw/934ce4f853a7c690e7cf61c1f1f001b16e37506923d444b082e5563685d64204.bin,Sosyal ağlar ve açık topluluklar,,ortak-havuz,politika-dosyasi,,(başlık yok),,yöntem robots_preflight,hayir,hayir,49693,robots_preflight
liste=0 yorum=0 fiyatli_offer=0,source-0132,Airtable Marketplace,https://airtable.com/marketplace,e46ca5d0b163b904,results/raw/e46ca5d0b163b904672ab0e17a2bde178f23080a76dead095219f2c4d293c7af.bin,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları",,marketplace,belirsiz,,Apps - Airtable Marketplace,,"URL yolu '/marketplace' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,102708,entry_url
liste=1 yorum=0 fiyatli_offer=0,source-0121,Atlassian Marketplace,https://marketplace.atlassian.com/,582a2b497dbedecf,results/raw/582a2b497dbedecff78ab2e4206300f4fd94ce3e765f1c2ebcee58bb02f69360.bin,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları",,marketplace,ana-sayfa,,Explore Marketplace solutions for Atlassian apps | Atlassian Marketplace | Atlassian Marketplace,"CategoryPage, CollectionPage, EntryPoint, ItemList, ListItem, SearchAction",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,203096,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0119,BigCommerce App Marketplace,https://www.bigcommerce.com/apps/,0e9da1905a4aeabc,results/raw/0e9da1905a4aeabc074687287f0dc5cf05f92800e2890aaaedd81d32b501391f.bin,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları",,marketplace,belirsiz,,(başlık yok),,"URL yolu '/apps/' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,203771,entry_url
liste=0 yorum=0 fiyatli_offer=0,source-0217,Ahrefs,https://ahrefs.com/,9a447c6626e5353a,results/raw/9a447c6626e5353a1d5bdf88d88d198848a571e3e404e5dbca590cac97200673.bin,"Trafik, SEO, anahtar kelime ve trend",,ortak-havuz,ana-sayfa,,Ahrefs—AI Marketing Platform Powered by Big Data,Organization,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0228,AnswerThePublic,https://answerthepublic.com/en,c1d7c808f8fdcad3,results/raw/c1d7c808f8fdcad352b6924d234bedc98efe447aafea8a3fc57fcb6338604d97.bin,"Trafik, SEO, anahtar kelime ve trend",,ortak-havuz,ana-sayfa,,AnswerThePublic by Neil Patel: Keyword Research &amp; Content Ideas,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0216,Bing Webmaster Tools,https://www.bing.com/,f8fe26210ac8c5bf,results/raw/f8fe26210ac8c5bf78170b879e8b7b39d5d33ee2612b6ad880b12d6dd8e9b9db.bin,"Trafik, SEO, anahtar kelime ve trend",,ortak-havuz,ana-sayfa,,Arama - Microsoft Bing,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,224757,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0634,Arya Women Investment Platform,https://www.aryawomen.com/,89cd39c56e0c193d,results/raw/89cd39c56e0c193ddd222b41bb53dcbf23c6cc026d5d30cfd00168f446d904aa.bin,Türkiye startup ve teknoloji ekosistemi,,ortak-havuz,ana-sayfa,,Arya - Yatırım Platformu,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,250807,root_html
liste=1 yorum=0 fiyatli_offer=0,source-0624,Bilişim Vadisi,https://bilisimvadisi.com.tr/,e6a65c3c4b9ead58,results/raw/e6a65c3c4b9ead58600c292e2cd3ce9a899c91ba03bbbc12ae3fe49c17b7619c.bin,Türkiye startup ve teknoloji ekosistemi,,ortak-havuz,ana-sayfa,,Bilişim Vadisi - Technology Development Zone,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0631,Endeavor Türkiye,https://endeavor.org.tr/insider-gibi-bir-unicorn-nasil-dogar/,e67ced80be90b1dd,results/raw/e67ced80be90b1ddfeee8027ba67a6c09f49f32d6f5e0757e98182084c89e803.bin,Türkiye startup ve teknoloji ekosistemi,,ortak-havuz,belirsiz,,Insider Gibi Bir Unicorn Nasıl Doğar? | Endeavor Türkiye,,"URL yolu '/insider-gibi-bir-unicorn-nasil-dogar/' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,66984,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0541,AWS Marketplace,https://aws.amazon.com/marketplace,b5b3941964296bbd,results/raw/b5b3941964296bbd6c46641d1b499284505688a279e964040aa1934a152c6a6d.bin,"Yapay zekâ modeli, veri seti ve agent ekosistemi",,developer-tool,belirsiz,,AWS Marketplace: Homepage,,"URL yolu '/marketplace' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,400000,entry_url
liste=0 yorum=0 fiyatli_offer=0,source-0538,Artificial Analysis,https://artificialanalysis.ai/,5f6c6d69060acf78,results/raw/5f6c6d69060acf7827e79b615a75b7df84d4ebfcc6c992211f749077fd356b9a.bin,"Yapay zekâ modeli, veri seti ve agent ekosistemi",,developer-tool,ana-sayfa,,AI Model &amp; API Providers Analysis | Artificial Analysis,"Dataset, Organization, PropertyValue",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0542,Azure Marketplace,https://azuremarketplace.microsoft.com/cs-cz/,4c4b00f963e37115,results/raw/4c4b00f963e37115268903c2528366432ee1d61c9a3d8e9926b3cb9246344779.bin,"Yapay zekâ modeli, veri seti ve agent ekosistemi",,developer-tool,ana-sayfa,,Microsoft Azure Marketplace,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0027,Ask Ubuntu,https://api.stackexchange.com/2.3/questions?site=askubuntu&pagesize=30&order=desc&sort=activity,1bffa60bd4fd8ddb,results/raw/1bffa60bd4fd8ddb8795aa02bea3ccfe7a0eaba9787f5039fab28ed340419d7b.bin,Yazılım geliştirici ve teknik topluluklar,,developer-tool,api-yaniti,,(başlık yok),,MIME application/json,hayir,evet,21022,stackexchange_questions
liste=0 yorum=0 fiyatli_offer=0,source-0019,Bitbucket,https://bitbucket.org/,c970ab80ec589a16,results/raw/c970ab80ec589a1663912263a5c8a921252592915b37d5674e6b8228d364fa5a.bin,Yazılım geliştirici ve teknik topluluklar,,developer-tool,ana-sayfa,,Bitbucket Home Page,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
