document_id,artifact_hash,source_id,kaynak_ailesi,urun_kategorileri,belge_turu,ikincil_belge_turu,arastirma_niyeti,icerik_durumu,siniflandirma_gerekcesi,icerik_gerekcesi,belirsizlik,olcum_kaniti_uretir_mi
doc-331b26cd14d4,381659c175b28d0901a254e5742109105d0116972a3077e9f8c5cff89e836953,source-0273,"Şirket, yatırım ve startup verisi",ortak-havuz,ana-sayfa,,rakip-kim,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 8839 karakter,,hayir
doc-16d43bcbbffa,f5dffaf21c60c86c8856b3b1769247d93135161719fbcd563c9732bd65c577db,source-0339,Akademik araştırma ve bilimsel yayınlar,ortak-havuz,politika-dosyasi,,"giris-engeli, talep-yonu",politika,yöntem robots_preflight,yöntem robots_preflight,,hayir
doc-fc7ada8ee3c5,9cda43fa949042756fb997ef9609051ae1a031ec2dbb3ad72a93734fa9dcfb5a,source-0250,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak-havuz,ana-sayfa,,ulasilabilir-mi,arsiv,URL yolu kök ve kayıt/liste/fiyat işareti yok,"Common Crawl kopyası, görünür metin 6938 karakter",,hayir
doc-2dce68bf08f3,ce9eef461f3c320f588fd59aeeb56a255bd8eec2695703c50b7a0286fa31b876,source-0489,"Seyahat, konaklama ve mobilite dikeyi",ortak-havuz,ana-sayfa,,"odeme-istegi, rakip-kim",js-kabugu,URL yolu kök ve kayıt/liste/fiyat işareti yok,197934 bayt HTML ama görünür metin 0 karakter,dil belirlenemedi,hayir
doc-6c71fe9082ff,9a447c6626e5353a1d5bdf88d88d198848a571e3e404e5dbca590cac97200673,source-0217,"Trafik, SEO, anahtar kelime ve trend",ortak-havuz,ana-sayfa,,"talep-var-mi, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 3715 karakter,,hayir
doc-5f277e4c37a3,eee43f42bb76d3f0466014b8598e1cf60fa87944298a507ad31840390474f355,source-0486,"Seyahat, konaklama ve mobilite dikeyi",ortak-havuz,politika-dosyasi,,"odeme-istegi, rakip-kim",politika,yöntem robots_preflight,yöntem robots_preflight,,hayir
doc-e42a7d9043d0,feeaad85f25534b3583aec429ca4c3976b613d60270dbcf5cf856a04d6fff9e3,source-0486,"Seyahat, konaklama ve mobilite dikeyi",ortak-havuz,ana-sayfa,,"odeme-istegi, rakip-kim",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 4170 karakter,,hayir
doc-bc1a6fb8988c,e46ca5d0b163b904672ab0e17a2bde178f23080a76dead095219f2c4d293c7af,source-0132,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları","b2b-saas, consumer-mobile-web, ecommerce-enablement",belirsiz,,"doygun-mu, odeme-istegi, platform-kendi-ekler-mi, platform-politikasi, talep-var-mi",js-kabugu,"URL yolu '/marketplace' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",102708 bayt HTML ama görünür metin 174 karakter,belge türü belirlenemedi,hayir
doc-014858730b5c,56c7e78b2be3f5ce89e0849572aa43be6976a2c0fea30ebd778d6db2505eb845,source-0132,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları","b2b-saas, consumer-mobile-web, ecommerce-enablement",sitemap,,"doygun-mu, odeme-istegi, platform-kendi-ekler-mi, platform-politikasi, talep-var-mi",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,,hayir
doc-71ab68710120,15e344341943cde86eef5ee8b5b32c5e59fb14c546be4843c907fa1273e2a4b8,source-0164,(aile atanmamış),ortak-havuz,ana-sayfa,,,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 64788 karakter,,hayir
doc-9509549100e9,2fd9f404f6f3e209ef7542db3d7f56bffee9e347cfb926fb3e3df3c304fc31f1,source-0059,Ürün lansmanı ve startup toplulukları,ortak-havuz,ana-sayfa,,"rakip-kim, sikayet-ne",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 13203 karakter,,hayir
doc-3bf6ee8fa8c1,deb254bad0c17ec3fc092b28bfd5b32d08181d972b42c5950fa60fc4093a35f5,source-0159,(aile atanmamış),ortak-havuz,ana-sayfa,,,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 1427 karakter,,hayir
doc-50274b6e6c73,6e02d194964fe3bb9648d5e59d91a3a9c8c9a94e0a73d7315a7dd5f8f47cc506,source-0582,"Haber, basın ve sektör yayınları",ortak-havuz,ana-sayfa,,"rakip-kim, talep-yonu",js-kabugu,URL yolu kök ve kayıt/liste/fiyat işareti yok,33739 bayt HTML ama görünür metin 14 karakter,dil belirlenemedi,hayir
doc-9a7f3cc1441d,30abb14d971a6e353c4af34075ad02998eae9358c29dbdaf078582ce2e4bb760,source-0582,"Haber, basın ve sektör yayınları",ortak-havuz,besleme,,"rakip-kim, talep-yonu",besleme,yöntem rss_feed,yöntem rss_feed,,evet
doc-28ab68be2d3d,c1b8e84b78e64cb0abe4a90eb4a5fdd96ae45f88463bd454e6627fe78cafc138,source-0271,"Şirket, yatırım ve startup verisi",ortak-havuz,ana-sayfa,,rakip-kim,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 4038 karakter,,hayir
doc-b0124bcad21d,37386d2bfad10c50db5a408e5494f738f0d64afc2dd63104d918116fa62eab04,source-0314,"Yerel işletme, harita ve hizmet dizinleri",local-service,ana-sayfa,,"cografi-yogunluk, doygun-mu, odeme-istegi, rakip-kim",arsiv,kök yolda ana sayfa; sayfanın kendini tarif eden işaretleri (yazi işareti var ama eşiğin altında),"Common Crawl kopyası, görünür metin 8534 karakter",,hayir
doc-2b9904d1ec38,c1d7c808f8fdcad352b6924d234bedc98efe447aafea8a3fc57fcb6338604d97,source-0228,"Trafik, SEO, anahtar kelime ve trend",ortak-havuz,ana-sayfa,,"talep-var-mi, talep-yonu",js-kabugu,URL yolu kök ve kayıt/liste/fiyat işareti yok,400000 bayt HTML ama görünür metin 63 karakter,dil belirlenemedi,hayir
doc-3bbe500c08a6,bcab64691b4cd37742a66a12551ae002c8baef711a5e5e1794952c3a5889a362,source-0228,"Trafik, SEO, anahtar kelime ve trend",ortak-havuz,sitemap,,"talep-var-mi, talep-yonu",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-c7a276cf2965,1997d3b3ffbe5c91fc00e83ef2d376d868b2b26bd46061933231d0ad2af1bac7,source-0107,Mobil uygulama mağazaları,consumer-mobile-web,ana-sayfa,,"doygun-mu, kesfedilebilirlik, odeme-istegi, platform-politikasi, rakip-kim, sikayet-ne, talep-var-mi, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 7250 karakter,,hayir
doc-1e29b756ea67,cc0292c894eb54f3549413fa9b9ac86e406401f6dea434bea9b0de6a5c53d371,source-0107,Mobil uygulama mağazaları,consumer-mobile-web,ana-sayfa,,"doygun-mu, kesfedilebilirlik, odeme-istegi, platform-politikasi, rakip-kim, sikayet-ne, talep-var-mi, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 6840 karakter,,hayir
doc-2cdef91c8d01,9cf683a96e8bf0a630a80cc87c8b8ec18218e61520eab0614760faad281de727,source-0261,"Şirket, yatırım ve startup verisi",ortak-havuz,ana-sayfa,,rakip-kim,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 12079 karakter,,hayir
doc-a8ddf44b3ca7,d85a2b24a511a5fe892dcd4dd586adb71dc504b54592edbed72b38d6098a7399,source-0096,Mobil uygulama mağazaları,consumer-mobile-web,belirsiz,,"doygun-mu, kesfedilebilirlik, odeme-istegi, platform-politikasi, rakip-kim, sikayet-ne, talep-var-mi, talep-yonu",gercek-icerik,"URL yolu '/us/iphone/today' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",görünür metin 8264 karakter,belge türü belirlenemedi,hayir
doc-33bc6e4e4aba,42b9c54ef60d497c0d96d2acc2ea9b0d30c8923cea5f2b383657462ebb247e49,source-0247,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak-havuz,ana-sayfa,,ulasilabilir-mi,js-kabugu,URL yolu kök ve kayıt/liste/fiyat işareti yok,70414 bayt HTML ama görünür metin 8 karakter,dil belirlenemedi,hayir
doc-d1ed39bc00b3,f282509518e7c386e9c33e164e6aeec022db88115ba19bd0137bab493b4ea5b9,source-0065,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, Ürün lansmanı ve startup toplulukları",b2b-saas,ana-sayfa,,"doygun-mu, odeme-istegi, rakip-kim, sikayet-ne",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 2741 karakter,,hayir
doc-1842436b8403,40256c914d83b612f15e4f390d5814c08a1bb68874b5eaaeb2acf779f414205c,source-0065,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, Ürün lansmanı ve startup toplulukları",b2b-saas,ana-sayfa,,"doygun-mu, odeme-istegi, rakip-kim, sikayet-ne",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 3061 karakter,,hayir
doc-2a9e6fea6988,c7888ccdac13bd94147932a98f04bee2e9ba711bf7d6d843bf0235f81a609220,source-0065,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, Ürün lansmanı ve startup toplulukları",b2b-saas,sitemap,,"doygun-mu, odeme-istegi, rakip-kim, sikayet-ne",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-1431510152cd,790816328fa1e9d55b505b40ff41d4f6f80b29df84688ab90427e243b5bfb9ec,source-0065,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, Ürün lansmanı ve startup toplulukları",b2b-saas,sitemap,,"doygun-mu, odeme-istegi, rakip-kim, sikayet-ne",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-42bec25ac451,a4939c3dcefb1c719446a092d24ecb288fe4a405c046d3ec799e72e123b19fc1,source-0105,Mobil uygulama mağazaları,consumer-mobile-web,ana-sayfa,,"doygun-mu, kesfedilebilirlik, odeme-istegi, platform-politikasi, rakip-kim, sikayet-ne, talep-var-mi, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 11404 karakter,,hayir
doc-f98cb7c30a90,2258c91693b2fbc6b5e31b6559376c9e289855cb209caee35747c7d981c81973,source-0319,"Yerel işletme, harita ve hizmet dizinleri",local-service,ana-sayfa,,"cografi-yogunluk, doygun-mu, odeme-istegi, rakip-kim",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 4005 karakter,,hayir
doc-eca232816ec3,bd41986db3cba2ffe1ecc58cc477ab81007719b0d3f500b5b35cd128ed39769b,source-0564,"Haber, basın ve sektör yayınları",ortak-havuz,ana-sayfa,,"rakip-kim, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 9295 karakter,,hayir
doc-51d94e462a96,0d7c13283371aecac8c6ad3c34ad67f65ff1774bcb52958db9c4bab25c36e183,source-0564,"Haber, basın ve sektör yayınları",ortak-havuz,sitemap,,"rakip-kim, talep-yonu",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-2a0f4e5bf9df,5f6c6d69060acf7827e79b615a75b7df84d4ebfcc6c992211f749077fd356b9a,source-0538,"Yapay zekâ modeli, veri seti ve agent ekosistemi",developer-tool,ana-sayfa,,"birim-maliyet, doygun-mu, lisans-modeli, odeme-istegi, rakip-kim",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 13816 karakter,,hayir
doc-587eca55ecee,89cd39c56e0c193ddd222b41bb53dcbf23c6cc026d5d30cfd00168f446d904aa,source-0634,Türkiye startup ve teknoloji ekosistemi,ortak-havuz,ana-sayfa,,"rakip-kim, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 9108 karakter,,hayir
doc-94b5d1fa0ea4,2e97d64065ee3f428c2b229be7f63e31b7a11b6ed3ecd412d52f784bb52f52c4,source-0287,İş ilanları ve yetenek talebi,b2b-saas,ana-sayfa,,"talep-var-mi, talep-yonu, ulasilabilir-mi",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 3818 karakter,,hayir
doc-28497a3c07f4,3f8a177827f5540b46c3fa8732eeca6fee09c3cfbc66121e7b07081d55f0f4e0,source-0287,İş ilanları ve yetenek talebi,b2b-saas,sitemap,,"talep-var-mi, talep-yonu, ulasilabilir-mi",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-a9e249f1fe4e,1bffa60bd4fd8ddb8795aa02bea3ccfe7a0eaba9787f5039fab28ed340419d7b,source-0027,Yazılım geliştirici ve teknik topluluklar,developer-tool,api-yaniti,,"doygun-mu, lisans-modeli, odeme-istegi, rakip-kim, sikayet-ne, talep-var-mi",api-yaniti,MIME application/json,MIME application/json,,evet
doc-0b4c5102598a,582a2b497dbedecff78ab2e4206300f4fd94ce3e765f1c2ebcee58bb02f69360,source-0121,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları","b2b-saas, consumer-mobile-web, ecommerce-enablement",ana-sayfa,,"doygun-mu, odeme-istegi, platform-kendi-ekler-mi, platform-politikasi, talep-var-mi",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 1514 karakter,,hayir
doc-2c7fdb0b8dc0,b5b3941964296bbd6c46641d1b499284505688a279e964040aa1934a152c6a6d,source-0541,"Yapay zekâ modeli, veri seti ve agent ekosistemi",developer-tool,belirsiz,,"birim-maliyet, doygun-mu, lisans-modeli, odeme-istegi, rakip-kim",gercek-icerik,"URL yolu '/marketplace' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",görünür metin 11045 karakter,belge türü belirlenemedi,hayir
doc-2d703b201b2c,ea95ba770479e5acd9b10f3702b46833785d5986cacda96406ab8ae53108e735,source-0541,"Yapay zekâ modeli, veri seti ve agent ekosistemi",developer-tool,besleme,,"birim-maliyet, doygun-mu, lisans-modeli, odeme-istegi, rakip-kim",besleme,yöntem rss_feed,yöntem rss_feed,,evet
doc-95e5d4ef57b5,3166164e463936bc64af8dd06c318162c981e9445ef52881802e3ec8ea9d33d6,source-0574,"Haber, basın ve sektör yayınları",ortak-havuz,ana-sayfa,,"rakip-kim, talep-yonu",gercek-icerik,kök yolda ana sayfa; sayfanın kendini tarif eden işaretleri (yazi işareti var ama eşiğin altında),görünür metin 2749 karakter,,hayir
doc-b79da88e51de,4c4b00f963e37115268903c2528366432ee1d61c9a3d8e9926b3cb9246344779,source-0542,"Yapay zekâ modeli, veri seti ve agent ekosistemi",developer-tool,ana-sayfa,,"birim-maliyet, doygun-mu, lisans-modeli, odeme-istegi, rakip-kim",arsiv,URL yolu kök ve kayıt/liste/fiyat işareti yok,"Common Crawl kopyası, görünür metin 3975 karakter",dil belirlenemedi,hayir
doc-baf4689aaabc,901c32f30de0baf7d27d74bc86c825f742804b4b69065a856ac114d81e5894e9,source-0616,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",b2b-saas,fiyatlandirma-sayfasi,,"doygun-mu, odeme-istegi",gercek-icerik,URL yolunda pricing/plans,görünür metin 31853 karakter,,evet
doc-3cef2cb31eff,b0cee491fdfdd27dbdd9c2d68826ac60c704d6f167643039601952af60af87d1,source-0437,Finans ve fintech dikeyi,ortak-havuz,ana-sayfa,,"giris-engeli, rakip-kim",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 15581 karakter,,hayir
doc-119e3f33a7c8,e542e94c78bd6bb32d4a7465350871407e591454c0cac27976d6d4e16ac1d276,source-0326,Akademik araştırma ve bilimsel yayınlar,ortak-havuz,ana-sayfa,,"giris-engeli, talep-yonu",gercek-icerik,kök yolda ana sayfa; sayfanın kendini tarif eden işaretleri (kayit-sayfasi işareti var ama eşiğin altında),görünür metin 12403 karakter,,hayir
doc-d53ebdf27976,d7a4181db508c0950e7ae77baa68a87d82b0318aea7f8f21181e7ee91e16724c,source-0052,Ürün lansmanı ve startup toplulukları,ortak-havuz,ana-sayfa,,"rakip-kim, sikayet-ne",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 6185 karakter,,hayir
doc-002f886ef227,803631dd89c18fc416fd2955042b8cc4a75cf964388f83d35f683247280cc789,source-0151,"SaaS, yazılım ve hizmet inceleme siteleri",b2b-saas,ana-sayfa,,"doygun-mu, odeme-istegi, rakip-kim, sikayet-ne, talep-var-mi, ulasilabilir-mi",arsiv,URL yolu kök ve kayıt/liste/fiyat işareti yok,"Common Crawl kopyası, görünür metin 2248 karakter",,hayir
doc-20210566918c,0e9da1905a4aeabc074687287f0dc5cf05f92800e2890aaaedd81d32b501391f,source-0119,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları","b2b-saas, consumer-mobile-web, ecommerce-enablement",belirsiz,,"doygun-mu, odeme-istegi, platform-kendi-ekler-mi, platform-politikasi, talep-var-mi",js-kabugu,"URL yolu '/apps/' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",203771 bayt HTML ama görünür metin 0 karakter,belge türü belirlenemedi,hayir
doc-faf16933fcac,8a57a1c7c869d01c7b5810e56af00d1fd61d6e261bdbac7b0358cbfc38254cc1,source-0119,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları","b2b-saas, consumer-mobile-web, ecommerce-enablement",sitemap,,"doygun-mu, odeme-istegi, platform-kendi-ekler-mi, platform-politikasi, talep-var-mi",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-9dc7a2b23f0c,df623633b5a7710f46ff9f70e52cb0f8cb518835a0c8135542bf14399b628d01,source-0249,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak-havuz,ana-sayfa,,ulasilabilir-mi,gercek-icerik,"kök yolda ana sayfa; sayfanın kendini tarif eden işaretleri (fiyatlandirma-sayfasi, inceleme-sayfasi, kayit-sayfasi işareti var ama eşiğin altında)",görünür metin 10275 karakter,,hayir
doc-ad9b7b43e6b4,6e395325767e7204101434aa4b96d271f3c1d9283b7a34c9143bfb1e0e984310,source-0249,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak-havuz,sitemap,,ulasilabilir-mi,aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-39c867e8434d,e6a65c3c4b9ead58600c292e2cd3ce9a899c91ba03bbbc12ae3fe49c17b7619c,source-0624,Türkiye startup ve teknoloji ekosistemi,ortak-havuz,ana-sayfa,,"rakip-kim, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 7342 karakter,,hayir
doc-8c8f9e1aac1e,cd895d434280caec0a3aa697f99ed517cdda2b287a068ec5f595762b39caf632,source-0004,Genel web arama ve keşif,ortak-havuz,ana-sayfa,,,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 506 karakter,dil belirlenemedi,hayir
doc-e9f87e3f9a0d,2a01da83d4f45ef60b736a3b6a8f90bc272795f438ef6d6678ee50bf41e2bb57,source-0004,Genel web arama ve keşif,ortak-havuz,ana-sayfa,,,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 510 karakter,dil belirlenemedi,hayir
doc-b9fbc59fa3f5,69228c959d909939440eb33c86976cbd4ef37912ec2e47185466b15e208b8b45,source-0302,"Yerel işletme, harita ve hizmet dizinleri",local-service,belirsiz,,"cografi-yogunluk, doygun-mu, odeme-istegi, rakip-kim",js-kabugu,"URL yolu '/maps' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",180190 bayt HTML ama görünür metin 22 karakter,belge türü belirlenemedi,hayir
doc-39af50a4d9a2,11a18149e8c10486eb76442d1005dc6e47f76720b1e504a75501af107ed0befc,source-0554,"Haber, basın ve sektör yayınları",ortak-havuz,ana-sayfa,,"rakip-kim, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 510 karakter,dil belirlenemedi,hayir
doc-2d0fd4369365,f8fe26210ac8c5bf78170b879e8b7b39d5d33ee2612b6ad880b12d6dd8e9b9db,source-0216,"Trafik, SEO, anahtar kelime ve trend",ortak-havuz,ana-sayfa,,"talep-var-mi, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 502 karakter,dil belirlenemedi,hayir
doc-9f2f083981e8,c970ab80ec589a1663912263a5c8a921252592915b37d5674e6b8228d364fa5a,source-0019,Yazılım geliştirici ve teknik topluluklar,developer-tool,ana-sayfa,,"doygun-mu, lisans-modeli, odeme-istegi, rakip-kim, sikayet-ne, talep-var-mi",js-kabugu,URL yolu kök ve kayıt/liste/fiyat işareti yok,400000 bayt HTML ama görünür metin 19 karakter,dil belirlenemedi,hayir
doc-ed4995109afd,8dbc6c6937fc3c305cc08fd9c0d0607b868a55428f92efe50250400b5956236c,source-0557,"Haber, basın ve sektör yayınları",ortak-havuz,sitemap,,"rakip-kim, talep-yonu",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-a67c025e8be1,a1ea8b1b893c7af2e2adcc8a3ffb5a247755e8b1e002e2bb9b9733746220c978,source-0579,"Haber, basın ve sektör yayınları",ortak-havuz,ana-sayfa,,"rakip-kim, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 18985 karakter,,hayir
doc-6a74a351edd9,f1db6bec0dc0efc6a0c0e73650a0799f4b20ef3202b816ec5747ab1988020f0f,source-0579,"Haber, basın ve sektör yayınları",ortak-havuz,sitemap,,"rakip-kim, talep-yonu",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-94230947bd79,970ef325e15811380d06bb2d814cbcf16b22a1181c66badb2b408b45b819700c,source-0500,"Seyahat, konaklama ve mobilite dikeyi",ortak-havuz,ana-sayfa,,"odeme-istegi, rakip-kim",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 693 karakter,,hayir
doc-a3bd91bd816a,28a08e61b88b04a4f70b63e2fca22acde0f8cbfcc030e25453e1569d2b675f5a,source-0485,"Seyahat, konaklama ve mobilite dikeyi",ortak-havuz,politika-dosyasi,,"odeme-istegi, rakip-kim",politika,yöntem robots_preflight,yöntem robots_preflight,,hayir
doc-9db7a0b10621,43fae05fd88e5f91ca634d74390e01e5123bef099a3b1dd5b47d332c0025df81,source-0318,"Yerel işletme, harita ve hizmet dizinleri",local-service,ana-sayfa,,"cografi-yogunluk, doygun-mu, odeme-istegi, rakip-kim",gercek-icerik,kök yolda ana sayfa; sayfanın kendini tarif eden işaretleri (kayit-sayfasi işareti var ama eşiğin altında),görünür metin 1867 karakter,,hayir
doc-5c8e678dc72c,35330438cd12234c7fdcc27e5fa52a199e9930305699c3f6020befedde6cd550,source-0442,Finans ve fintech dikeyi,ortak-havuz,ana-sayfa,,"giris-engeli, rakip-kim",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 25930 karakter,,hayir
doc-36f1e01759a4,cd2f30834a2ea9267cc2c630ccda5df15bc8e30bf5a74532c256e93ae522f1fe,source-0001,Genel web arama ve keşif,ortak-havuz,ana-sayfa,,,js-kabugu,URL yolu kök ve kayıt/liste/fiyat işareti yok,98932 bayt HTML ama görünür metin 115 karakter,dil belirlenemedi,hayir
doc-52494270bdd5,b0480a331811f829128d95d65b0a8bda2ef583958d86c54482e7284a9ce5e12e,source-0382,Regülasyon ve hukuk kaynakları,ortak-havuz,ana-sayfa,,giris-engeli,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 14108 karakter,,hayir
doc-07c2dee9042b,a0776da0a34df960d60f7c4397cc8c6e075898df09e35f7559437db6bac03870,source-0201,"Domain, DNS, sertifika ve web footprint, Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",b2b-saas,ana-sayfa,,"doygun-mu, odeme-istegi, rakip-kim",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 4660 karakter,,hayir
doc-b9cc51c61efd,d5de25b85a721efece23230b20f22a481a5830c473163c7adb3607263494ca7a,source-0201,"Domain, DNS, sertifika ve web footprint, Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",b2b-saas,sitemap,,"doygun-mu, odeme-istegi, rakip-kim",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-6accd6a4efe5,61bf69df0db83aab47986bdc35b8d406842b73849f17a0c9588982bb6b2d54c1,source-0362,Kamu verisi ve istatistik,ortak-havuz,ana-sayfa,,talep-var-mi,arsiv,URL yolu kök ve kayıt/liste/fiyat işareti yok,"Common Crawl kopyası, görünür metin 8474 karakter",,hayir
doc-3fddd0274ea7,2258866db2611af39dcb933156d6a04ae9a3e07e6aaf0dd6643cd0952f0080b5,source-0566,"Haber, basın ve sektör yayınları",ortak-havuz,sitemap,,"rakip-kim, talep-yonu",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-db440814b8d3,0ee3a01f30d47a71a861c4c68939223ff1941a9f24963baee9aca65d938163ad,source-0566,"Haber, basın ve sektör yayınları",ortak-havuz,sitemap,,"rakip-kim, talep-yonu",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,dil belirlenemedi,hayir
doc-eceb36cc5564,85491cd380b0f92d6533e9fd67641e246678c07fa2b1f567c7815b21d231d6f1,source-0234,"Trafik, SEO, anahtar kelime ve trend",ortak-havuz,ana-sayfa,,"talep-var-mi, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 10343 karakter,,hayir
doc-de11a0e82d22,133f222cbbc7db5f8a1c3c842e26bdfd5777792692815da5a9ef17ec32e16fa5,source-0135,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, SaaS, yazılım ve hizmet inceleme siteleri",b2b-saas,ana-sayfa,,"doygun-mu, odeme-istegi, rakip-kim, sikayet-ne, talep-var-mi, ulasilabilir-mi",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 8616 karakter,,hayir
doc-cdc4922e5cda,8a59e88aa64b636113c3dac453e43e51221e7fb8161479e0a275c9c61b6273ac,source-0256,"Şirket, yatırım ve startup verisi",ortak-havuz,belirsiz,,rakip-kim,gercek-icerik,"URL yolu '/content/home' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",görünür metin 11927 karakter,belge türü belirlenemedi,hayir
doc-2682d44f32a5,2397d28693c2dfe64372c4446dbf409f889ff9e04f22fd9638a539f0ec1f3922,source-0423,Sağlık ve biyoteknoloji dikeyi,ortak-havuz,ana-sayfa,,"giris-engeli, talep-var-mi",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 9325 karakter,,hayir
doc-4f191d950382,3edf004d5a88d9efd627e5668b91f6c2e9a9ec453ac0ce2d8c301d84ed814c3a,source-0193,"Domain, DNS, sertifika ve web footprint",ortak-havuz,ana-sayfa,,rakip-kim,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 13419 karakter,,hayir
doc-041f5756eb06,31da5ad1795966e4d3e35a3051d4f09eab06b7c0a81b04eb0f95dcb951a40389,source-0193,"Domain, DNS, sertifika ve web footprint",ortak-havuz,besleme,,rakip-kim,besleme,yöntem rss_feed,yöntem rss_feed,,evet
